顺序,事件名称
1,复刻：唠唠叨叨帝都圣杯奇谭轻量版
2,淑女·莱妮丝事件簿
3,迷乱鸣凤庄的考察
4,狩猎关卡第5弹
5,幕间物语活动 第9弹
6,ALL信长总进击唠唠叨叨最终本能寺2019
7,复刻：从者·夏日·庆典！轻量版
8,从者强化任务 第11弹
9,拜见！拉斯维加斯御前比试～泳装剑豪七色决胜！
10,幕间物语活动 第10弹
11,BATTLE IN NEW YORK 2019
12,复刻：神秘之国的ONILAND!!～鬼王与神威的黄金～轻量版
13,Saber Wars 2 ～前往初始的宇宙～
14,狩猎关卡第6弹
15,圣诞节2019南丁格尔的圣诞颂歌
16,幕间物语活动 第11弹
17,Lostbelt No.5 神代巨神海洋 亚特兰蒂斯
18,复刻：雀之旅馆的活动日志～阎魔亭繁盛记～轻量版
19,拯救！亚马逊点COM～CEO大危机2020～
20,幕间物语活动 第12弹
21,Fate/GrandOrder-EpicofRemnant-亚种特异点Ⅰ恶性隔绝魔境新宿新宿幻灵事件漫画发售纪念活动
22,情人节2020 非同寻常的情人节 ～紫式部与派对辣妹5人军团～
23,艾尤的春风～魔女与愉快的伙伴与新的冒险～
24,狩猎关卡第7弹
25,TV动画「Fate/Grand Order -绝对魔兽战线巴比伦尼亚-」播放纪念活动 第4弹
26,复刻版:Apocrypha/Inheritance of Glory -Triumphal-
27,复刻:ALL信长总进击 唠唠叨叨最终本能寺2019 轻量版
28,『Fate Requiem』棋盘游戏默示录
29,复刻：拜见！ 拉斯维加斯御前比试～泳装剑豪七色决胜！ 轻量版
30,幕间物语活动 第13弹
31,狩猎关卡第8弹
32,空之境界 the Garden of sinners×Fate/Grand Order Arcade联动活动举办纪念 强化任务
33,「Main Interlude 深海电脑乐土 SE.RA.PH」上线纪念活动
34,复刻：德川回天迷宫 大奥
35,从者强化任务 第12弹～5th Anniversary～特别篇
